city,city_ibge_code,date,epidemiological_week,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,new_confirmed,new_deaths,order_for_place,place_type,state
Água Branca,2700102.0,2020-07-02,27,20196.0,False,True,27,133.68984,2020-07-01,0.0,0,0,0,30,city,AL
Anadia,2700201.0,2020-07-02,27,17545.0,False,True,216,1231.1199800000002,2020-07-01,0.0093,2,0,0,71,city,AL
Arapiraca,2700300.0,2020-07-02,27,231747.0,False,True,3140,1354.92585,2020-07-01,0.0118,37,0,0,76,city,AL
Atalaia,2700409.0,2020-07-02,27,47185.0,False,True,423,896.47134,2020-07-01,0.0165,7,0,0,68,city,AL
Barra de Santo Antônio,2700508.0,2020-07-02,27,15932.0,False,True,94,590.00753,2020-07-01,0.0638,6,0,0,71,city,AL
Barra de São Miguel,2700607.0,2020-07-02,27,8322.0,False,True,88,1057.43812,2020-07-01,0.0341,3,0,0,65,city,AL
Batalha,2700706.0,2020-07-02,27,18232.0,False,True,180,987.2751199999999,2020-07-01,0.0222,4,0,0,65,city,AL
Belém,2700805.0,2020-07-02,27,4344.0,False,True,24,552.4861900000001,2020-07-01,0.0417,1,0,0,42,city,AL
Belo Monte,2700904.0,2020-07-02,27,6704.0,False,True,13,193.91408,2020-07-01,0.0,0,0,0,36,city,AL
Boca da Mata,2701001.0,2020-07-02,27,27281.0,False,True,489,1792.4562899999999,2020-07-01,0.0184,9,0,0,79,city,AL
Branquinha,2701100.0,2020-07-02,27,10494.0,False,True,74,705.16486,2020-07-01,0.0135,1,0,0,65,city,AL
Cacimbinhas,2701209.0,2020-07-02,27,10858.0,False,True,39,359.18217000000004,2020-07-01,0.0513,2,0,0,55,city,AL
Cajueiro,2701308.0,2020-07-02,27,21264.0,False,True,135,634.87585,2020-07-01,0.0519,7,0,0,54,city,AL
Campestre,2701357.0,2020-07-02,27,6936.0,False,True,40,576.70127,2020-07-01,0.075,3,0,0,57,city,AL
Campo Alegre,2701407.0,2020-07-02,27,57063.0,False,True,532,932.30289,2020-07-01,0.0094,5,0,0,63,city,AL
Campo Grande,2701506.0,2020-07-02,27,9558.0,False,True,71,742.83323,2020-07-01,0.0141,1,0,0,58,city,AL
Canapi,2701605.0,2020-07-02,27,17722.0,False,True,10,56.427040000000005,2020-07-01,0.1,1,0,0,56,city,AL
Capela,2701704.0,2020-07-02,27,17053.0,False,True,355,2081.74515,2020-07-01,0.0056,2,0,0,73,city,AL
Carneiros,2701803.0,2020-07-02,27,9081.0,False,True,25,275.30008,2020-07-01,0.0,0,0,0,49,city,AL
Chã Preta,2701902.0,2020-07-02,27,7311.0,False,True,17,232.52632999999997,2020-07-01,0.0,0,0,0,37,city,AL
Coité do Nóia,2702009.0,2020-07-02,27,10693.0,False,True,56,523.7071,2020-07-01,0.0,0,0,0,57,city,AL
Colônia Leopoldina,2702108.0,2020-07-02,27,21698.0,False,True,169,778.8736299999999,2020-07-01,0.0237,4,0,0,63,city,AL
