city,city_ibge_code,date,epidemiological_week,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,new_confirmed,new_deaths,order_for_place,place_type,state
Alta Floresta D'Oeste,1100015.0,2020-07-02,27,22945.0,False,True,111,483.76552999999996,2020-07-01,0.0,0,0,0,62,city,RO
Alto Alegre dos Parecis,1100379.0,2020-07-02,27,13241.0,False,True,39,294.53969,2020-07-01,0.0256,1,0,0,60,city,RO
Alto Paraíso,1100403.0,2020-07-02,27,21428.0,False,True,67,312.675,2020-07-01,0.0597,4,0,0,76,city,RO
Alvorada D'Oeste,1100346.0,2020-07-02,27,14411.0,False,True,18,124.90458999999998,2020-07-01,0.0556,1,0,0,58,city,RO
Ariquemes,1100023.0,2020-07-02,27,107863.0,False,True,1356,1257.1502699999999,2020-07-01,0.0162,22,0,0,84,city,RO
Buritis,1100452.0,2020-07-02,27,39654.0,False,True,149,375.75023999999996,2020-07-01,0.0134,2,0,0,78,city,RO
Cabixi,1100031.0,2020-07-02,27,5312.0,False,True,4,75.3012,2020-07-01,0.25,1,0,0,62,city,RO
Cacaulândia,1100601.0,2020-07-02,27,6230.0,False,True,15,240.77047000000002,2020-07-01,0.0,0,0,0,52,city,RO
Cacoal,1100049.0,2020-07-02,27,85359.0,False,True,301,352.62831,2020-07-01,0.0166,5,0,0,64,city,RO
Campo Novo de Rondônia,1100700.0,2020-07-02,27,14139.0,False,True,59,417.28552,2020-07-01,0.0339,2,0,0,62,city,RO
Candeias do Jamari,1100809.0,2020-07-02,27,26693.0,False,True,471,1764.50755,2020-07-01,0.0234,11,0,0,68,city,RO
